time_week,device_id,category,chain,visits
2014-11-16,S/xbp19Cn2j1uKrF1oTwol2f+UY=,Restaurant,SUBWAY,1
2014-11-16,nPCPtTqIFdbAM2alpucBQFJqoBQ=,Restaurant,SUBWAY,55
2014-11-16,l1Lfif7zORKAT+L9fpl7FaXlBgU=,Restaurant,SUBWAY,1
2014-11-16,v8Cql6ZlF5AD1feesEiy5mQRjTo=,Restaurant,SUBWAY,3
2014-11-16,bPlyJq+yozxk2Eb6rBeCOUi8sk0=,Restaurant,SUBWAY,1
2014-11-16,WoybmUD8xyNgn4zUuoDfMggqT1I=,Restaurant,SUBWAY,3
2014-11-16,9kbcZ0LBVAn8JSjXTPNK14K1c1c=,Restaurant,SUBWAY,5
2014-11-16,HIf+j2oqEAlAAPAAR1i+9QRWJAA=,Restaurant,SUBWAY,1
2014-11-16,81355EcY4lOqpOnpY1J0gA0JQXo=,Restaurant,SUBWAY,1
2014-11-16,jM/yey9XMWypyV1at3d3+kYZ2rE=,Restaurant,SUBWAY,1
2014-11-16,R7dkrUKCvkHN1Ar90D+n7l4XGQ8=,Restaurant,SUBWAY,2
2014-11-16,9M47o4Il81l93QwkbvEpbqEcRc4=,Restaurant,SUBWAY,1
